Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,P12,C2,Pm3,C4,C5,C6,C7,P1,P10,P11,C1,PC13,P14,P2,Pc14,Pc8,P5,PC11,P7,Pm14,Pc10,P9,P6,Pm10,PC14,Pm11,PC2,P4,PC9,c10,c11,c12,Pm15,c14,c15,c8,c9,pc13,pc15,pm12,pm13,p8,c13,pm2,c3,pm4,pm5,pm6,pm7,pm8,pm9
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__unclassified_g__Alternaria,ASV48,3267,0.00186733518066,60,0,183,32,0,24,0,75,0,23,0,0,78,0,92,546,10,0,0,0,0,137,116,28,3,0,0,0,21,11,0,0,0,208,0,0,0,0,97,0,0,127,0,0,0,0,0,0,1267,0,129
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_albicans,ASV972,65,3.71523681491E-5,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_penicillioides,ASV757,519,0.000296647370298,0,11,0,22,0,0,14,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,122,0,52,93,31,11,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_fumigatus,ASV532,402,0.00022977310763,0,0,0,7,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,6,0,0,0,210,0,0,0,44,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariaceae,g__Neurospora,s__unclassified_g__Neurospora,ASV973,48,2.74355949409E-5,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Saccharomyces,s__unclassified_g__Saccharomyces,ASV28,3007,0.00171872570807,21,110,23,17,45,66,64,47,25,14,193,72,37,161,100,238,109,78,15,84,75,8,36,5,15,17,20,55,36,29,23,58,51,47,54,3,35,41,79,111,32,103,15,61,50,38,40,54,22,209,66
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__unclassified_g__Aspergillus,ASV50,3912,0.00223600098768,24,121,0,65,81,310,307,44,0,8,0,61,0,32,127,127,165,270,0,0,0,0,0,0,3,314,0,0,43,0,0,35,0,0,0,0,0,22,1352,0,0,0,0,0,0,0,0,328,73,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_intricans,ASV100,2141,0.00122374184934,24,0,0,79,0,0,0,42,140,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Cutaneotrichosporon,s__Cutaneotrichosporon_cutaneum,ASV7,33790,0.0193135156886,345,796,88,50,2213,0,343,40,377,32,0,0,682,119,528,1530,594,0,363,1406,762,949,0,274,580,0,1819,0,624,380,786,79,841,6170,370,580,544,377,1403,2106,0,201,0,1218,194,895,964,0,1175,528,465
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_penicillioides,ASV354,1490,0.000851646592956,0,0,154,54,0,88,0,40,0,0,0,515,0,0,0,0,0,4,0,112,0,0,0,0,0,0,0,0,0,92,79,0,0,0,0,0,105,0,0,0,0,0,0,0,43,0,157,0,0,47,0
