Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,P12,C2,Pm3,C4,C5,C6,C7,P1,P10,P11,C1,PC13,P14,P2,Pc14,Pc8,P5,PC11,P7,Pm14,Pc10,P9,P6,Pm10,PC14,Pm11,PC2,P4,PC9,c10,c11,c12,Pm15,c14,c15,c8,c9,pc13,pc15,pm12,pm13,p8,c13,pm2,c3,pm4,pm5,pm6,pm7,pm8,pm9
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Psilocybe,s__Psilocybe_crobula,ASV1587,114,6.51595379846E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_penicillioides,ASV1588,112,6.40163881954E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__unclassified_f__Trichomeriaceae,s__unclassified_f__Trichomeriaceae,ASV1589,101,5.77290643548E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,s__Sarocladium_kiliense,ASV1590,91,5.20133154087E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Hypoxylon,s__Hypoxylon_monticulosum,ASV1443,99,5.65859145656E-5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__unclassified_f__Didymellaceae,s__unclassified_f__Didymellaceae,ASV1591,71,4.05818175167E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Arthrobotrys,s__Arthrobotrys_conoides,ASV1592,47,2.68640200463E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__unclassified_p__Basidiomycota,o__unclassified_p__Basidiomycota,f__unclassified_p__Basidiomycota,g__unclassified_p__Basidiomycota,s__unclassified_p__Basidiomycota,ASV722,45,2.57208702571E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_sp,ASV608,372,0.000212625860792,0,161,0,0,0,0,0,0,30,0,0,68,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__Talaromyces_stollii,ASV1593,24,1.37177974704E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,g__Physisporinus,s__Physisporinus_vitreus,ASV297,521,0.000297790520087,0,0,36,0,0,0,0,0,0,3,0,25,0,0,0,20,36,0,0,0,0,83,0,0,0,0,0,0,0,0,0,28,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_hominis,ASV1030,3087,0.00176445169964,0,0,129,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_halophilicus,ASV788,1219,0.000696749796519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1192,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum,ASV1698,177,0.000101168756344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Blastocladiomycota,c__Blastocladiomycetes,o__Blastocladiales,f__Physodermataceae,g__Paraphysoderma,s__Paraphysoderma_sedebokerense,ASV1699,121,6.91605622468E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unclassified_o__Capnodiales,g__unclassified_o__Capnodiales,s__unclassified_o__Capnodiales,ASV1700,105,6.00153639332E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_minuta,ASV1103,571,0.000326369264818,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__unclassified_o__Polyporales,g__unclassified_o__Polyporales,s__unclassified_o__Polyporales,ASV1701,87,4.97270158303E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__unclassified_g__Neosetophoma,ASV448,380,0.000217198459949,25,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,50,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Neocosmospora,s__Neocosmospora_rubicola,ASV229,627,0.000358377458915,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,71,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__unclassified_p__Basidiomycota,o__unclassified_p__Basidiomycota,f__unclassified_p__Basidiomycota,g__unclassified_p__Basidiomycota,s__unclassified_p__Basidiomycota,ASV1702,70,4.00102426221E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,s__unclassified_g__Nigrospora,ASV1703,52,2.97218945193E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__unclassified_k__Fungi,c__unclassified_k__Fungi,o__unclassified_k__Fungi,f__unclassified_k__Fungi,g__unclassified_k__Fungi,s__unclassified_k__Fungi,ASV1704,36,2.05766962057E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__unclassified_k__Fungi,c__unclassified_k__Fungi,o__unclassified_k__Fungi,f__unclassified_k__Fungi,g__unclassified_k__Fungi,s__unclassified_k__Fungi,ASV1705,32,1.82903966273E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__unclassified_f__Teratosphaeriaceae,s__unclassified_f__Teratosphaeriaceae,ASV1225,61,3.48660685707E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unclassified_o__Chaetothyriales,g__unclassified_o__Chaetothyriales,s__unclassified_o__Chaetothyriales,ASV1706,31,1.77188217326E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Cephalotrichum,s__unclassified_g__Cephalotrichum,ASV141,11290,0.00645308056005,0,0,0,1766,2905,4542,1674,0,72,21,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,26,165,0,0,0,0,0,0,0,2,0,0,0,30,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_slooffiae,ASV1707,22,1.25746476812E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_byssoides,ASV1432,39,2.22914208895E-5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__unclassified_g__Trichoderma,ASV1708,14,8.00204852442E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,s__Sporobolomyces_carnicolor,ASV145,344,0.000196621763743,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Schizophyllaceae,g__Schizophyllum,s__Schizophyllum_radiatum,ASV283,2413,0.00137921022067,96,24,0,31,0,0,176,0,0,4,0,0,0,219,0,0,243,0,0,80,256,0,83,229,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__Apiotrichum_montevideense,ASV1052,183,0.000104598205712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,f__Ophiostomataceae,g__Hawksworthiomyces,s__Hawksworthiomyces_crousii,ASV1053,151,8.63078090848E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Trichosporon,s__unclassified_g__Trichosporon,ASV418,7027,0.00401645678437,282,133,0,0,0,0,0,0,0,0,0,54,0,0,0,0,146,200,157,0,0,603,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,5063,0,0,0,0,0,0,227,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__unclassified_g__Fusarium,ASV71,2943,0.00168214491481,79,69,0,63,0,233,42,0,91,266,0,0,0,0,0,0,135,0,0,310,347,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1113,34,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Passalora,s__Passalora_sp,ASV1054,131,7.48763111928E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Cryptococcus_f__Tremellaceae,s__Cryptococcus_cyanovorans,ASV1055,124,7.08752869306E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Simplicillium,s__Simplicillium_sp,ASV1056,110,6.28732384062E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__unclassified_g__Apiotrichum,ASV1057,102,5.83006392494E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Engyodontium,s__Engyodontium_sp,ASV541,547,0.000312651467347,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Diutina,s__Diutina_catenulata,ASV1058,92,5.25848903033E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__unclassified_f__Aspergillaceae,s__unclassified_f__Aspergillaceae,ASV1059,75,4.28681170951E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Wickerhamomyces,s__Wickerhamomyces_anomalus,ASV1060,110,6.28732384062E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Daedaleopsis,s__Daedaleopsis_confragosa,ASV1061,72,4.11533924113E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_sp,ASV1062,72,4.11533924113E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__unclassified_g__Aspergillus,ASV1063,237,0.000135463250021,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_globosa,ASV1064,65,3.71523681491E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__unclassified_f__Trichosphaeriaceae,s__unclassified_f__Trichosphaeriaceae,ASV1065,447,0.000255493977887,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae,g__unclassified_f__Peniophoraceae,s__unclassified_f__Peniophoraceae,ASV1066,50,2.85787447301E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__unclassified_g__Myrmecridium,ASV1067,47,2.68640200463E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Sphaerellopsis,s__Sphaerellopsis_filum,ASV1068,34,1.94335464165E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Trichosporon,s__unclassified_g__Trichosporon,ASV1069,28,1.60040970488E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_sp,ASV1070,28,1.60040970488E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,s__Sarocladium_sp,ASV1071,26,1.48609472596E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__unclassified_f__Trichosphaeriaceae,s__unclassified_f__Trichosphaeriaceae,ASV1072,25,1.4289372365E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__unclassified_g__Apiotrichum,ASV1073,23,1.31462225758E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__unclassified_k__Fungi,c__unclassified_k__Fungi,o__unclassified_k__Fungi,f__unclassified_k__Fungi,g__unclassified_k__Fungi,s__unclassified_k__Fungi,ASV1074,16,9.14519831363E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Purpureocillium,s__Purpureocillium_lilacinum,ASV1075,8,4.57259915681E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Coprinus,s__Coprinus_cordisporus,ASV1076,6,3.42944936761E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__unclassified_k__Fungi,c__unclassified_k__Fungi,o__unclassified_k__Fungi,f__unclassified_k__Fungi,g__unclassified_k__Fungi,s__Fungi_sp,ASV1077,4,2.28629957841E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Rozellomycota,c__unclassified_p__Rozellomycota,o__unclassified_p__Rozellomycota,f__unclassified_p__Rozellomycota,g__unclassified_p__Rozellomycota,s__Rozellomycota_sp,ASV1078,3,1.7147246838E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unclassified_o__Chaetothyriales,g__unclassified_o__Chaetothyriales,s__unclassified_o__Chaetothyriales,ASV609,628,0.00035894903381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_radicina,ASV723,292,0.000166899869224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_radicina,ASV724,265,0.000151467347069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Extremaceae,g__unclassified_f__Extremaceae,s__Extremaceae_sp,ASV725,246,0.000140607424072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
